MonthlyCharges,tenure,gender_Male,InternetService_Fiber optic,InternetService_No,Contract_One year,Contract_Two year,PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check,Partner,StreamingMovies,Dependents,MultipleLines,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,PaperlessBilling,Churn,PhoneService,SeniorCitizen
-1.1603229160349193,-1.2774445836787656,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,0,0,0,0,1,0,0,0,1,0,0,0
-0.2596289419448806,0.06632741908223598,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0,0,0,0,1,0,1,0,0,0,0,1,0
-0.3626603559551803,-1.2367242199587352,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,1,1,0,0,0,1,1,1,0
-0.7465354629935549,0.5142514200025698,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,1,1,0,0,0,0,0
0.19736523310080326,-1.2367242199587352,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,0,0,0,0,0,0,0,1,1,1,0
1.1595456961969886,-0.9924020376385531,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0,1,0,1,0,0,1,0,1,1,1,1,0
0.8089065291619363,-0.4223169455581282,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,1,1,0,1,0,0,1,1,0,1,0
-1.1636465100352518,-0.9109613101984924,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,1,0,0,0,0,0,0,0,0
1.330710787214099,-0.1779947632379461,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1,1,0,1,0,0,1,1,1,1,1,1,0
-0.28621769394753876,1.2064976032430856,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0,1,0,1,1,0,0,0,0,0,1,0
-0.4922805219681379,-0.7888002190384014,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,0,1,0,1,0,0,0,0,1,0,1,0
-1.5225946620711341,-0.6666391278783103,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0
1.182810854199314,1.0436161483629645,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1,1,0,1,0,0,1,0,1,0,0,1,0
1.2941512532104444,0.6771328748826912,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,1,0,1,1,0,1,1,1,1,0
1.3539759452164248,-0.30015585439803716,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0,1,0,0,1,0,1,1,1,1,0,1,0
1.611554480242174,1.4915401492832983,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1,1,1,1,1,1,1,1,1,0,0,1,0
-1.4660935640654862,0.7992939660427822,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,0,1,0
1.393859073220412,1.5729808767233588,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0,1,1,1,1,0,1,0,1,0,0,1,0
-0.31779183695069496,-0.9109613101984924,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,0,1,0,0,0,1,1,0,0,1,1,0
0.8404806721650927,-0.46303730927815856,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0,1,0,0,0,1,1,0,0,1,0,1,0
-0.8346107040023594,-1.2774445836787656,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,1,0,0,0,0,1,0,0,1,1,0,1
-1.4943441130683104,-0.8295205827584317,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,1,0
-1.4827115340671475,-1.2774445836787656,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,1,1,0
-0.1615829189350795,1.0436161483629645,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1,0,0,1,0,1,0,1,0,1,0,1,0
-0.17155370093607614,0.6771328748826912,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,0,1,0,1,1,0,1,0,0,0,1,0
-0.31446824295036285,-0.0965540357978854,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,0,1,0,1,0
1.1495749141959914,0.5956921474426305,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1,1,1,1,0,1,0,0,1,1,1,1,0
-1.1486903370337564,-1.2774445836787656,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,0,1,0,0,1,0,0,0,0,1,0,0
0.8471278601657574,1.6137012404433893,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1,1,0,1,1,1,1,1,1,1,0,1,0
-0.0020504069191315333,-0.62591876415828,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,1,1,0,0,0,0,0,1,1,1,1,0
1.0498670941860242,1.5729808767233588,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1,0,0,1,1,1,1,1,0,1,0,1,1
1.0216165451832002,-1.2367242199587352,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1,1,0,0,0,0,1,0,1,1,0,1,1
0.046141706085686136,-0.21871512695797646,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1,0,1,0,1,1,1,1,0,0,0,1,0
-1.481049737066981,-1.2774445836787656,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0
-0.6484894399837535,-1.2774445836787656,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,1
1.1678546811978192,1.6137012404433893,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1,0,1,1,1,1,0,1,1,0,0,1,0
0.16412929309748078,-1.1145631287986442,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,0,0,0,0,0,0,0,1,1,1,0
0.33363258711442517,0.5549717837226001,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0,0,0,0,1,0,0,1,0,1,0
1.3822264942192488,0.06632741908223598,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0,1,0,1,0,1,1,0,1,1,1,1,0
1.099721004191008,-0.8702409464784621,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,1,0,0,1,0,1,1,1,1,0
-0.5055748979694671,-0.9109613101984924,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1,0,1,0,0,1,0,0,0,0,0,1,0
0.14751132309581955,1.5322605130033284,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1,0,1,1,1,1,0,0,1,1,0,1,0
-1.462769970065154,-0.62591876415828,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1,0,1,0,0,0,0,0,0,0,0,1,0
0.5014740841312035,1.247217966963116,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0,0,0,1,1,1,1,1,1,1,0,1,0
0.3801629031190768,-0.7888002190384014,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,0,0,1,1,1,0,1,1,1,0,1,0
0.6560212051466532,0.6771328748826912,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0,1,0,1,0,0,0,0,0,1,0,1,0
